Company,Stock Symbol,Transaction Date,Transaction Type,Shares,Share Price ($),Transaction Amount ($)
"Miller, Alexander and Martin",zaVl,2023-07-12,Dividend,950,246.7,68120.2
Taylor-Freeman,yete,2024-04-02,Sell,967,434.9,97784.06
Miller Group,jBca,2023-04-05,Buy,607,209.24,3047.45
Smith-Macias,QkkS,2023-05-31,Sell,374,116.24,82149.86
"Young, Castro and Day",dMVW,2024-04-07,Dividend,306,467.78,14609.28
Sullivan LLC,BGNH,2024-01-02,Interest,465,352.1,20543.46
Morton LLC,drwz,2023-01-28,Dividend,408,275.51,8980.08
Landry Ltd,sHjT,2023-06-20,Interest,297,365.78,84687.67
Smith-Gonzalez,HNhx,2022-10-16,Buy,880,289.03,32266.12
Williams LLC,CtTc,2024-01-04,Interest,855,409.49,71428.35
"Decker, Barker and Robertson",rYuk,2023-05-04,Interest,1,308.46,30076.41
Jones-Hall,RqMo,2024-04-22,Dividend,114,284.5,44902.12
Boone-Diaz,uYIs,2024-05-18,Buy,473,493.51,99276.29
Morris Group,xtMQ,2023-02-14,Dividend,96,201.61,45471.31
Watkins-Jones,cmiY,2022-12-02,Sell,183,44.43,50829.51
"Thomas, Morales and Flores",rohx,2023-07-10,Interest,468,287.88,2323.63
Richards LLC,lPSo,2024-06-20,Buy,44,36.6,25896.22
Cantrell-Weaver,ZeaI,2022-12-09,Dividend,81,421.77,17186.63
Keller Inc,HhxV,2023-08-01,Interest,103,372.47,65603.61
"Williams, Jackson and Zhang",vIsg,2024-04-07,Buy,478,195.2,62272.56
Sims LLC,cdCl,2024-02-14,Dividend,686,379.5,9556.56
Rogers and Sons,MPqL,2023-02-09,Sell,630,269.62,34855.95
"Hall, Lynch and Rogers",MDDz,2022-12-24,Dividend,410,92.41,10143.68
Kaufman-Brown,RcpF,2024-06-23,Sell,135,239.95,15607.19
"Smith, Rios and Hill",mfUp,2022-12-02,Dividend,205,217.03,46777.06
Sullivan LLC,XXGr,2023-02-28,Interest,772,212.23,30600.43
Green and Sons,TZMS,2023-03-04,Interest,145,439.38,79214.97
"Walls, Nguyen and Nunez",tIgb,2023-08-03,Sell,646,366.81,48143.52
"Monroe, Willis and Robertson",NiQK,2022-09-24,Buy,1000,259.23,82740.5
"Sims, Green and Hernandez",Dsan,2023-05-10,Interest,205,413.47,30156.42
Carney-Fox,KdBF,2023-07-06,Sell,458,347.15,55548.18
"Anderson, Chavez and Solis",vtPX,2022-11-01,Sell,103,298.22,39767.44
Cabrera Group,gtob,2023-08-05,Dividend,157,237.32,72732.76
